id_prestito,id_copia,stato,id_libro,titolo,anno_pubblicazione,editore,data_inizio,data_prevista_restituzione,matricola,nome,cognome,classe,indirizzo_studio
78,192,in_prestito,49,Pensiero critico - Volume 49,1955,Zanichelli,2026-04-18,2026-05-02,S025,Simone,Romano,5A,Liceo Classico
114,184,in_prestito,47,Storie di scuola - Volume 47,1980,Garzanti,2026-04-21,2026-05-05,S015,Marco,Marino,5A,Liceo Scientifico
56,156,in_prestito,39,Matematica e realtà - Volume 39,1974,Laterza,2026-04-22,2026-05-06,S019,Camilla,Colombo,4B,Liceo Classico
47,141,in_prestito,37,La città invisibile - Volume 37,1986,Garzanti,2026-04-23,2026-05-07,S020,Francesca,Costa,2B,Liceo Linguistico
58,1,in_prestito,1,Percorsi di storia - Volume 1,1980,Einaudi,2026-04-23,2026-05-07,S008,Francesca,Mancini,1B,Liceo Linguistico
82,45,in_prestito,11,Introduzione alla letteratura - Volume 11,1978,Mondadori,2026-04-24,2026-05-08,S010,Anna,De Luca,2A,Liceo Linguistico
98,136,in_prestito,36,Il viaggio della conoscenza - Volume 36,1999,Laterza,2026-04-28,2026-05-12,S020,Francesca,Costa,2B,Liceo Linguistico
62,139,in_prestito,36,Il viaggio della conoscenza - Volume 36,1999,Laterza,2026-05-02,2026-05-16,S019,Camilla,Colombo,4B,Liceo Classico
40,129,in_prestito,34,La città invisibile - Volume 34,1977,Garzanti,2026-05-05,2026-05-19,S027,Riccardo,Mancini,5B,Istituto Tecnico Informatico
96,208,in_prestito,54,Matematica e realtà - Volume 54,1988,Salani,2026-05-09,2026-05-23,S001,Luca,Rossi,5A,Liceo Classico
83,80,in_prestito,20,Pensiero critico - Volume 20,2010,Bompiani,2026-05-10,2026-05-24,S005,Federico,Barbieri,1A,Istituto Tecnico Economico
112,97,in_prestito,24,La città invisibile - Volume 24,1956,Mondadori,2026-05-13,2026-05-27,S017,Simone,Conti,3A,Liceo Linguistico
12,47,in_prestito,11,Introduzione alla letteratura - Volume 11,1978,Mondadori,2026-05-16,2026-05-30,S002,Martina,Romano,2A,Istituto Tecnico Economico
79,36,in_prestito,8,Racconti del Novecento - Volume 8,1975,Laterza,2026-05-16,2026-05-30,S010,Anna,De Luca,2A,Liceo Linguistico
111,52,in_prestito,13,Racconti del Novecento - Volume 13,1979,Zanichelli,2026-05-18,2026-06-01,S034,Elena,Esposito,5A,Istituto Tecnico Informatico
67,118,in_prestito,30,Storie di scuola - Volume 30,2006,Adelphi,2026-05-20,2026-06-03,S019,Camilla,Colombo,4B,Liceo Classico
52,81,in_prestito,20,Pensiero critico - Volume 20,2010,Bompiani,2026-05-22,2026-06-05,S031,Anna,De Luca,2B,Istituto Tecnico Economico
92,54,in_prestito,14,Introduzione alla letteratura - Volume 14,1950,Mondadori,2026-06-03,2026-06-17,S027,Riccardo,Mancini,5B,Istituto Tecnico Informatico
73,143,in_prestito,37,La città invisibile - Volume 37,1986,Garzanti,2026-06-07,2026-06-21,S038,Sara,Conti,3A,Istituto Tecnico Economico
14,73,in_prestito,18,Percorsi di storia - Volume 18,2012,Bompiani,2026-06-11,2026-06-25,S018,Matteo,Ricci,5A,Liceo Scientifico
34,60,in_prestito,15,La biblioteca dei sogni - Volume 15,1957,Bompiani,2026-06-11,2026-06-25,S039,Federico,Rossi,5B,Liceo Linguistico
2,204,in_prestito,53,Introduzione alla letteratura - Volume 53,1983,Garzanti,2026-06-12,2026-06-26,S020,Francesca,Costa,2B,Liceo Linguistico
103,89,in_prestito,22,Storie di scuola - Volume 22,1962,Garzanti,2026-06-14,2026-06-28,S004,Giulia,Verdi,4A,Liceo Classico
104,68,in_prestito,17,Storie di scuola - Volume 17,2015,Bompiani,2026-06-14,2026-06-28,S015,Marco,Marino,5A,Liceo Scientifico
7,138,in_prestito,36,Il viaggio della conoscenza - Volume 36,1999,Laterza,2026-06-16,2026-06-30,S018,Matteo,Ricci,5A,Liceo Scientifico
60,179,in_prestito,47,Storie di scuola - Volume 47,1980,Garzanti,2026-06-18,2026-07-02,S024,Elena,Ricci,3B,Istituto Tecnico Informatico
84,196,in_prestito,50,Storie di scuola - Volume 50,2003,Zanichelli,2026-06-18,2026-07-02,S022,Martina,Bianchi,1B,Istituto Tecnico Informatico
